,titles,category
0,제너럴아이디어      클래식 셔츠                ,Fasion
1,온앤온 캐시미어 와이드카라 핸드메이드 코트          ,Fasion
2,시슬리 버디 아웃 포켓 숏 코트          ,Fasion
3,캘빈클라인    언더웨어 여성 푸쉬업 패드내장 브라렛 스포츠 브라탑            ,Fasion
4,가       원 셀렙샵 에디션      기모 슬림 크레이프 팬츠,Fasion
5,에고이스트 시그니쳐 슬랜더 웨이스트 벨티드 롱 다운 점퍼         ,Fasion
6,겨울 밴딩 기모 여자정장팬츠 세미와이드팬츠 여성화이트팬츠 일자바지  사이즈,Fasion
7,어그 클래식 미니    부츠            ,Fasion
8,씨티지      컬링 양모    부클 자켓,Fasion
9,잇미샤        잇미샤 캐시미어 핸드메이드 누빔 코트           ,Fasion
10,     원 아뜰리에 마졸리 울 블렌드 니트탑  종,Fasion
11,쉬즈미스 라운드 헤링본 울 재킷            ,Fasion
12,헌터 인앤아웃 패딩신발 인아웃 니트커프 뮬           ,Fasion
13,일체형     모달스킨 감탄브라   후크형 스트랩 브라,Fasion
14,리오벨         코펜하겐 밍크 카라 이태리 양가죽 구스자켓,Fasion
15,여성 꽃무늬 밴딩 팬츠 홈웨어 잠옷 파자마 몸빼바지 동백,Fasion
16,조르쥬레쉬         세미 와이드 기모팬츠  종 솔리드  종 체크 팬츠  종,Fasion
17,더엣지      하이넥 구스다운,Fasion
18,어도리쉬 뉴모달 드로즈 여성 요일 편한 팬티 세미 하이웨스트 네모 사각 드로즈 스킨  ,Fasion
19,클래식 순면 잠옷세트 커플 파자마 신혼부부,Fasion
20,라인 베어 털 곰돌이 털실내화 겨울 털슬리퍼 방한 방수 고급 거실화,Fasion
21,미니멈 세이브존   더블스넵퀼딩롱패딩           ,Fasion
22,후아유         스티브 코듀로이 숏푸퍼           ,Fasion
23,여성 심리스팬티 모달팬티   수 무봉제 하이웨스트 햄팬티   ,Fasion
24,여성 양털 조끼 뽀글이 후리스 겨울 플리스 무스탕 성인 수면 조끼 빅사이즈 사무실 베스트,Fasion
